code,title,quantity,cost,type,period
0,Всего,-,30791155.2,e,2014-10
1,Живые животные,308.152,947,e,2014-10
2,Мясо и пищевые мясные субпродукты,226017.215,777109.5,e,2014-10
3,"Рыба и ракообразные, моллюски и прочие водные беспозвоночные",14649.862,106366.4,e,2014-10
4,"Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",830383.131,1972742.4,e,2014-10
5,"Продукты животного происхождения, в другом месте не поименованные или не включенные",2834.196,3404.3,e,2014-10
6,"Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",3747.152,4853.5,e,2014-10
7,Овощи и некоторые съедобные корнеплоды и клубнеплоды,311571.63,209847.5,e,2014-10
8,Съедобные фрукты и орехи; кожура цитрусовых плодов или корки дынь,426637.207,159055.4,e,2014-10
9,"Кофе, чай, мате, или парагвайский чай, и пряности",280.452,1022.9,e,2014-10
10,Злаки,1176.668,942.9,e,2014-10
11,Продукция мукомольно-крупяной промышленности; солод; крахмалы; инулин; пшеничная клейковина,140875.452,54744.1,e,2014-10
12,"Масличные семена и плоды; прочие семена, плоды и зерно; лекарственные растения и растения для технических целей; солома и фураж",4583.001,3627.5,e,2014-10
13,"Шеллак природный неочищенный; камеди, смолы и прочие растительные соки и экстракты",1228.691,1203.3,e,2014-10
14,"Растительные материалы для изготовления плетеных изделий; прочие продукты растительного происхождения, в другом месте не поименованные или не включенные",2672.222,396,e,2014-10
15,Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения,145333.103,115087.6,e,2014-10
16,"Готовые продукты из мяса, рыбы или ракообразных, моллюсков или прочих водных беспозвоночных.",88017.744,369822.4,e,2014-10
17,Сахар и кондитерские изделия из сахара,390633.036,235924.1,e,2014-10
18,Какао и продукты из него,10552.685,43384.5,e,2014-10
19,"Готовые продукты из зерна злаков, муки, крахмала или молока; мучные кондитерские изделия",41855.228,57326.4,e,2014-10
